	slide1	slide2	slide3	slide4	slide5	slide6	slide7	slide8	slide9	slide10
GENE4707	4,713387	5,298776	5,272455	5,198329	5,021851	5,634053	5,260278	5,809123	5,176261	5,286398
GENE4708	4,846682	4,483188	4,56204	4,792208	4,654228	4,696569	4,67371	4,709092	4,695692	4,802138
GENE4709	8,591738	6,267489	7,032979	9,188681	8,734297	7,62322	8,748821	7,376143	7,894656	7,614796
GENE4710	7,684923	6,829263	7,195124	7,097487	7,292659	7,209818	7,310004	7,200005	7,034914	6,51381
GENE4711	5,016964	4,996488	5,008075	4,925435	4,971917	4,970602	5,023686	5,202108	5,053661	5,015266
GENE4712	4,499876	4,892671	4,709688	4,682494	5,083701	4,411558	4,790002	4,603584	5,206284	4,774797
GENE4713	5,432636	5,116606	5,836921	5,13167	5,118655	5,064228	5,339766	5,183026	5,208818	5,582578
GENE4714	6,398797	6,716133	6,629997	6,437626	6,635433	6,664447	6,73628	6,718304	6,36393	6,531768
GENE4715	5,818265	5,811215	6,089761	5,676322	5,79648	5,272044	5,693196	5,63431	5,961282	6,330154
GENE4716	5,296049	5,166503	5,077434	5,155235	4,92304	5,335585	5,117374	5,171867	5,384354	5,193642
GENE4717	3,285959	3,468747	3,513033	3,514597	3,508832	3,634011	3,576828	3,479821	3,395655	3,568637
GENE4718	3,514419	4,159815	3,941719	4,021002	4,662478	3,869343	4,052796	3,962244	4,366946	4,120884
GENE4719	4,160171	4,402244	3,981243	4,219263	4,246569	4,580294	4,173303	4,331614	4,462749	4,302285
GENE4720	4,625541	5,122314	4,608027	5,19778	4,293429	4,252531	4,40135	4,509594	4,658618	4,514758
GENE4721	3,695459	4,303981	3,821536	3,895439	3,795655	3,775106	3,987843	4,118593	4,074605	3,760357
GENE4722	5,27482	5,188801	5,535389	5,087237	5,45828	5,463865	5,298233	5,313264	5,208034	5,49556
GENE4723	5,497829	6,952538	5,949676	6,249009	6,759564	6,135609	6,050512	7,069979	6,447849	6,170992
GENE4724	4,186342	4,570266	3,855928	4,025197	4,09579	4,338725	4,075406	4,289708	4,122688	4,387915
GENE4725	4,599885	4,89932	4,562947	4,87746	4,916691	5,132654	4,819846	5,122495	4,672633	5,010163
GENE4726	3,922971	4,198547	4,13645	3,857615	4,105977	4,039242	4,054012	4,286183	3,956466	3,748312
GENE4727	5,325768	5,410804	5,385362	5,418144	5,517055	5,685315	5,493418	5,599486	5,429253	5,475587
GENE4728	4,279516	4,500114	4,160225	4,349556	4,39595	4,234635	4,365294	4,409527	4,082362	4,271688
GENE4729	5,428901	5,500226	5,311562	5,018612	5,11061	5,274006	5,261614	5,424464	5,251911	5,095221
GENE4730	5,626748	5,040546	4,734735	5,786252	5,578877	5,126184	5,560893	5,7265	5,022333	5,248917
GENE4731	3,77846	3,824398	3,996218	4,017419	3,803351	3,911623	3,922248	3,835697	3,972179	4,091701
GENE4732	4,412587	4,659882	4,544084	4,30572	4,199484	4,364198	4,352192	4,883413	4,455361	4,574903
GENE4733	5,482704	5,050416	5,759568	5,008959	5,306169	5,18542	5,052885	5,785376	5,501853	5,687338
GENE4734	5,300706	7,582439	5,804601	7,138911	6,603627	7,088228	6,290387	7,895922	5,854487	6,918384
GENE4735	3,80127	3,683163	4,054661	3,844823	4,752637	3,994468	3,644214	3,794556	3,654852	3,77025
GENE4736	5,281997	5,257978	6,512993	5,615708	6,025963	5,795542	5,554885	5,516117	5,597063	5,507732
GENE4737	6,42017	6,682269	6,576891	6,655659	6,137557	6,616996	6,798795	6,864111	6,393182	6,431915
GENE4738	5,899988	5,889102	5,765446	5,78016	6,169907	5,79177	6,125387	5,786114	5,742888	5,903612
GENE4739	5,85172	5,484184	4,394233	5,863406	5,776549	6,14887	6,127877	5,181556	7,403712	6,45325
GENE4740	6,756849	7,115396	6,737923	6,643297	6,702532	6,771887	6,864682	6,776012	6,786577	6,937079
GENE4741	5,903036	5,574255	5,494392	5,8008	8,004038	5,218457	5,693529	4,875273	8,065606	6,446876
GENE4742	6,152448	5,764104	8,210344	6,079759	5,56896	6,028988	6,414614	5,607145	7,937583	6,692955
GENE4743	3,101021	3,185198	3,002863	3,135258	3,28586	3,099591	3,049348	3,259615	3,115877	3,275468
GENE4744	4,405329	4,472976	4,238371	4,391704	4,392686	4,321989	4,45934	4,632632	4,337211	4,405722
GENE4745	3,54198	3,495889	3,880711	3,859137	3,480278	3,471738	3,772636	3,873537	3,573823	3,616392
GENE4746	5,615994	5,750098	6,404928	6,705594	4,9382	6,292359	6,185849	5,814957	6,723412	6,361739
GENE4747	3,575619	3,537439	5,215075	3,759245	4,489287	3,243219	3,873706	3,359574	3,742951	3,314612
GENE4748	2,879811	3,104373	3,069855	2,993806	2,87326	3,179528	3,109225	3,112051	3,249069	3,15715
GENE4749	4,824842	4,859765	4,543802	4,40984	4,472962	4,713073	4,323751	4,872511	4,668177	4,445295
GENE4750	6,751376	7,147494	6,770971	6,872813	7,491662	6,961566	7,030521	6,856022	6,860931	7,242391
GENE4751	3,596173	3,957003	3,804632	3,650344	3,936332	3,738222	3,930248	3,756969	4,381667	3,942563
GENE4752	8,820291	8,770855	8,985872	8,99053	8,219611	9,106268	8,861823	9,021138	8,632336	8,936442
GENE4753	3,141096	3,468338	3,676605	3,248037	3,558156	3,550405	3,24714	3,569119	3,426564	3,291577
GENE4754	5,33037	5,813746	5,412808	5,508633	5,576854	5,583304	5,702514	5,430746	5,50911	5,663149
GENE4755	5,761535	5,971003	6,374159	4,798264	5,730613	6,06462	5,762794	5,726214	5,263111	4,859344
GENE4756	5,227593	5,112577	5,051269	5,007956	5,005935	5,223909	5,166705	5,341967	5,049429	5,057141
GENE4757	7,500944	7,909485	7,673456	7,940452	7,743671	7,634943	7,359307	7,691657	7,465976	7,874904
GENE4758	10,53897	9,758133	10,934809	10,056041	9,457877	10,469404	9,901589	9,986508	10,680532	10,087898
GENE4759	6,345065	6,487638	6,462419	6,508285	6,50781	6,421654	6,553753	6,513135	6,440953	6,469251
GENE4760	5,317948	5,016242	5,313824	5,792131	5,167025	5,510869	5,74543	4,726855	5,16965	4,881532
GENE4761	9,450318	9,579885	10,024777	9,93684	9,69626	10,200806	9,581114	9,425294	8,683968	9,507736
GENE4762	5,323262	8,404683	4,740751	8,025171	7,208079	7,028164	6,869865	8,705961	5,770862	7,276769
GENE4763	6,49505	6,700203	6,889548	7,052579	7,279944	6,211832	6,77466	6,355811	8,380491	6,449625
GENE4764	4,358668	4,193905	4,193723	4,184045	4,633036	4,138269	4,245385	4,322091	4,427916	4,095947
GENE4765	4,940914	4,874867	4,888647	4,687454	4,772396	5,018154	4,633797	4,712362	4,883335	4,729005
GENE4766	5,245473	5,211722	5,093371	5,159907	5,210914	5,261659	5,42681	5,3244	5,339679	5,18796
GENE4767	3,098989	3,117551	3,492671	3,190069	3,162402	3,069913	3,147996	2,989026	3,15282	3,017749
GENE4768	3,749731	3,461873	3,54453	3,758816	3,635829	3,814777	3,786302	3,692657	3,638336	3,597648
GENE4769	8,285421	7,332572	8,197536	7,917318	7,381434	7,523607	7,954215	7,342762	7,928592	7,367524
GENE4770	7,548393	9,906839	7,590017	8,826562	8,96643	8,752922	9,215867	9,80943	7,812435	8,826985
GENE4771	4,346364	4,115462	3,930101	4,077722	4,181272	4,131765	4,200913	4,056025	4,082454	4,213712
GENE4772	4,086654	4,451703	4,511935	4,474711	4,657778	4,587201	4,37284	4,575316	4,34821	4,6313
GENE4773	5,420885	5,288341	5,10859	4,95522	5,26779	4,888611	5,393304	5,125269	5,383788	5,208103
GENE4774	7,405734	7,486435	7,560865	7,591787	7,232061	7,622034	7,574335	7,679237	7,563804	7,686821
GENE4775	11,86583	10,955172	11,245756	11,681703	11,363249	11,637624	10,267589	11,562855	11,227825	11,23122
GENE4776	3,565507	3,641939	3,481749	3,449515	3,419719	3,263629	3,574206	3,365521	3,838259	3,353728
GENE4777	6,989751	6,829891	6,235296	6,639022	6,931369	6,895754	6,680026	6,48479	7,65127	6,518435
GENE4778	4,64526	9,388271	4,340113	8,410811	8,647049	7,250179	4,610418	8,248226	7,980925	8,015903
GENE4779	6,806062	6,53038	6,499684	6,563665	6,466761	6,705149	6,835951	6,57154	6,884726	6,69177
GENE4780	8,314909	9,537873	8,528647	9,726041	9,826936	8,451639	9,869516	10,015622	10,107155	8,337179
GENE4781	5,523519	5,035718	5,201502	5,059373	5,790359	4,718553	5,129956	4,847265	5,495533	5,022942
GENE4782	7,040302	5,644118	6,870652	6,291262	7,674871	6,111057	7,023439	6,222409	7,461058	7,481764
GENE4783	9,838803	8,466893	7,844156	8,138957	9,300745	8,881921	8,747865	8,235732	9,50191	8,894038
GENE4784	5,082611	4,775939	4,260195	4,806026	4,79376	4,897045	4,770456	4,710653	4,510984	4,636093
GENE4785	4,250358	4,310853	4,291247	4,230007	4,451495	4,26515	4,372723	4,698502	4,455873	4,652908
GENE4786	3,699623	4,111776	4,000086	3,915974	4,026897	3,804385	3,896385	3,923167	3,980732	4,226828
GENE4787	9,090875	9,382438	7,758088	9,636954	9,057308	8,806187	8,743925	9,284627	9,397969	9,075753
GENE4788	3,437857	3,556279	3,399849	3,498947	3,738641	3,677316	3,543795	3,564645	3,601945	3,585203
GENE4789	5,702412	5,326879	5,57113	5,517395	5,251625	5,593876	5,26023	5,447755	5,630925	5,772018
GENE4790	7,578467	9,944109	7,732987	9,334543	9,329694	9,512384	10,084257	10,315244	7,938722	9,50231
GENE4791	5,048534	5,578482	5,4911	5,526486	5,020892	5,495656	5,557746	5,823469	5,447009	5,621654
GENE4792	3,005208	2,923785	3,377552	2,929438	3,167631	3,150488	3,11729	2,976688	3,018882	3,120536
GENE4793	7,393753	9,570337	11,362013	9,377267	10,576656	7,700498	8,631313	7,690958	11,930446	9,098238
GENE4794	4,336906	4,376943	4,219517	4,34363	4,481265	4,263518	4,382276	4,376943	4,516141	4,566235
GENE4795	5,51315	5,723723	5,747312	5,742362	5,970145	5,692259	5,866243	5,639715	5,728162	5,740076
GENE4796	3,136323	3,423753	3,580447	3,220197	3,253248	3,431541	3,275192	3,131609	3,366862	3,359745
GENE4797	5,584791	5,560924	5,443762	5,316958	5,500794	5,628391	5,584791	5,636954	5,462105	5,609336
GENE4798	2,969715	3,126924	3,002004	2,982225	2,984609	3,198689	2,988254	3,016309	3,103838	3,155554
GENE4799	4,386882	4,170182	4,199565	4,188069	3,850666	4,087416	4,223828	4,385443	4,604968	4,182417
GENE4800	4,845106	4,994436	4,950202	4,892959	4,967561	4,942068	4,883265	4,84397	4,913472	4,802149
GENE4801	9,381624	9,037636	8,912562	8,462448	9,166696	9,656722	9,5454	8,152206	9,26162	8,953035
GENE4802	7,126112	8,460404	6,902359	7,996196	7,716462	7,912945	8,408595	8,705307	6,814822	7,790768
GENE4803	3,337888	3,08193	3,619905	3,004075	3,288194	3,1565	3,267906	3,276429	3,295451	3,202745
GENE4804	4,520935	3,443149	4,063771	3,707267	3,845717	3,920186	3,641938	3,448391	3,7361	3,978636
GENE4805	6,48017	5,094959	5,241399	5,678988	8,440609	5,167614	5,908657	4,78685	5,092109	4,742859
GENE4806	3,996234	3,926486	3,980615	4,006607	3,981742	3,92177	3,820494	3,854661	3,807386	3,930991
GENE4807	7,861948	7,122998	7,562509	7,671103	7,351116	7,418557	7,428061	7,487626	7,608914	7,38001
GENE4808	5,064609	4,24978	5,635242	4,393813	3,906485	3,821645	4,159425	4,349725	5,083079	4,743259
GENE4809	11,249462	10,483748	10,329122	9,350669	8,941011	8,716875	9,438546	9,572865	11,09128	8,674673
GENE4810	3,571741	3,699675	4,04987	3,546942	3,516266	3,480598	3,753846	3,724813	3,429769	3,824092
GENE4811	4,576826	4,62439	4,260515	4,33449	4,525367	4,40999	4,330007	4,269509	4,501047	4,480021
GENE4812	4,061385	3,825067	3,865743	3,850321	3,862721	3,868116	3,848965	3,784805	3,912517	3,880206
GENE4813	4,913485	5,244434	4,904428	4,799401	5,123352	4,833335	5,15173	5,1043	4,872124	4,975174
GENE4814	4,267554	4,24801	4,139298	4,248443	4,052042	4,305316	4,049687	4,319936	4,079	4,324973
GENE4815	4,40779	4,722167	4,42208	4,588276	4,282521	4,455349	4,429668	4,404417	4,258919	4,477219
GENE4816	3,193797	2,981703	3,034986	2,958967	2,832404	2,908822	2,959196	2,926348	2,892095	3,074486
GENE4817	5,708677	6,190567	5,9981	5,883637	5,881827	5,880459	5,754025	6,227616	5,892104	6,002763
GENE4818	3,504434	3,423822	3,357411	3,397002	3,330592	3,308415	3,422699	3,349106	3,457654	3,400096
GENE4819	7,191778	6,992191	7,305523	6,983736	7,45068	7,853318	7,532199	7,115006	6,73657	7,459682
GENE4820	4,756482	4,477607	4,786476	4,472033	4,50553	4,596521	4,511565	4,255634	4,752567	4,406124
GENE4821	6,985832	7,071775	6,622289	6,808832	7,269933	7,044925	6,929886	7,185059	6,875255	7,038929
GENE4822	9,029971	9,615947	8,586195	9,327037	8,756916	9,311576	9,233561	9,433032	8,935375	8,945843
GENE4823	3,142471	3,122947	3,330772	3,226649	3,074491	3,209804	3,195796	3,17238	3,08393	3,224949
GENE4824	4,336906	3,791207	3,923848	4,525081	4,024621	4,077743	3,667353	4,445305	4,121686	3,797275
GENE4825	10,523344	10,461309	10,698564	10,344159	10,698714	10,352073	10,400243	10,207278	10,554322	10,516729
GENE4826	5,985563	6,132118	6,034452	6,018654	6,192377	6,469991	6,060333	6,075487	5,773611	6,251714
GENE4827	5,31393	5,384972	5,294326	5,541569	5,500998	5,298841	5,215705	5,827217	5,097376	5,037671
GENE4828	4,435459	5,509627	5,609388	4,846665	4,01554	4,408346	5,252655	6,488282	4,813705	4,371701
GENE4829	4,266113	4,805809	4,491203	4,605888	4,398808	4,541126	4,434438	4,796339	4,475258	4,663168
GENE4830	3,850785	4,278958	3,501099	4,1114	4,017448	4,14858	4,095516	3,977351	4,025098	4,160028
GENE4831	5,970953	8,256237	6,783307	7,239437	7,068907	7,223276	7,306323	7,776764	6,246381	7,351091
GENE4832	3,919322	3,591334	3,629729	3,533926	3,535822	3,608731	3,705278	3,905725	3,530577	3,734069
GENE4833	4,918183	4,948501	4,855523	4,819825	5,358768	4,840432	4,592056	4,905402	4,955687	4,819846
GENE4834	4,985819	4,791324	4,649569	5,014473	4,542387	4,861777	4,131311	5,28458	4,283568	4,645426
GENE4835	4,158887	4,275357	4,114668	3,99877	3,820906	3,87821	4,012108	3,919053	4,130489	4,274944
GENE4836	4,760416	5,055694	4,591781	4,846993	4,771469	4,87746	4,751099	4,83783	4,832579	4,54636
GENE4837	4,766127	4,894037	4,838377	4,718595	4,726725	4,921491	4,932444	4,802678	4,664462	4,768959
GENE4838	6,078694	5,70143	6,516781	5,901044	5,985014	5,555112	5,862416	5,609854	6,432337	5,910484
GENE4839	5,147695	5,16976	4,977571	5,200327	5,138891	5,383648	4,992235	5,253357	5,195053	5,090963
GENE4840	11,204521	11,104302	11,441409	11,287099	10,881389	11,360264	11,108621	11,253291	11,202462	11,166563
GENE4841	4,968202	5,78452	5,503699	5,320041	5,655022	5,622751	5,279901	5,843722	5,107177	5,34278
GENE4842	3,22101	3,005559	2,961564	6,298979	4,955687	5,664622	5,710676	5,825311	3,093458	2,886707
GENE4843	5,454662	5,177898	6,210185	5,187586	4,699615	5,374242	5,044769	5,510123	5,317228	5,170164
GENE4844	4,349327	4,976109	5,063185	5,081162	4,711776	4,696303	4,86003	4,600595	6,402006	4,669361
GENE4845	5,86218	5,599533	6,213836	5,59231	5,423478	5,40259	5,922841	5,505634	5,614275	5,675374
GENE4846	6,270427	6,61558	5,907955	6,199633	6,6393	6,326108	6,399623	6,092247	6,06207	6,391215
GENE4847	4,831565	4,524029	4,894604	4,533539	4,681126	4,389551	4,50553	4,291023	5,276513	4,395702
GENE4848	3,588212	3,685868	3,632558	3,432445	3,593312	3,552335	3,807869	3,855661	3,64009	3,429403
GENE4849	4,385145	4,237273	4,343619	4,220141	5,362955	4,135296	4,304913	4,450993	6,019172	4,016175
GENE4850	4,121226	3,863295	3,98077	3,861992	3,655376	4,081912	3,780283	3,87195	3,974101	3,932105
GENE4851	5,256267	5,073956	5,05634	4,79496	5,172562	5,191087	4,991478	5,021384	5,019365	5,19788
GENE4852	6,452226	6,038358	6,586494	6,204482	5,861597	6,137368	5,795664	6,152028	6,506181	6,229424
GENE4853	3,780999	3,383439	3,612834	3,422765	3,469197	3,766271	3,626825	3,394228	3,821479	3,551107
GENE4854	4,636398	4,605333	4,121746	4,464613	4,263889	4,227251	4,618314	4,627294	4,31968	4,038365
GENE4855	5,948751	5,974294	5,871353	5,900666	5,934736	6,03645	5,95795	5,75035	5,867806	5,981805
GENE4856	5,548711	6,106322	5,481376	5,251124	5,854157	5,521532	5,473845	5,187413	5,69108	4,945463
GENE4857	3,840454	3,918643	3,484974	3,931591	4,230869	3,820926	3,753699	3,670328	3,713488	3,785134
GENE4858	11,026468	10,686747	11,203826	10,714807	10,939305	10,798152	10,883226	10,600569	11,603626	11,178539
GENE4859	2,777619	2,759759	2,747006	2,739268	2,872542	2,739268	2,789042	2,997313	2,708673	2,927837
GENE4860	5,418269	5,413557	5,192149	5,04083	5,433674	5,56405	5,185376	5,37537	5,207275	5,427397
GENE4861	5,767223	5,86318	5,693588	5,65695	5,668996	5,68263	5,657843	5,651225	5,815393	5,889678
GENE4862	4,208356	4,063176	4,071742	4,01466	3,955698	4,280939	4,329301	4,142079	4,195367	4,132783
GENE4863	4,529806	4,542834	4,423392	4,428704	4,708867	4,401937	4,65217	4,622048	4,669907	4,755385
GENE4864	2,911025	2,989987	3,249497	3,091863	3,02993	2,953754	3,073139	3,010746	3,054491	3,186433
GENE4865	4,691047	4,768314	4,813453	4,624447	4,578846	4,819706	4,745066	4,746647	4,561042	4,76376
GENE4866	5,040079	5,419771	6,787819	4,896013	5,84653	4,980639	5,298911	5,055607	5,60062	6,044778
GENE4867	4,675663	4,958883	4,857765	4,627559	5,034978	4,685411	4,97561	4,714172	4,802229	4,828988
GENE4868	5,034502	5,622062	5,780004	5,284135	5,211101	5,278127	5,289652	5,206235	5,365392	5,219228
GENE4869	7,966821	8,162076	8,127414	8,164693	8,330079	8,178538	7,835784	8,462908	8,059169	8,452748
GENE4870	9,132482	8,686075	8,995606	8,952738	8,980277	9,255686	8,901818	8,899753	8,91817	9,009838
GENE4871	3,489264	3,77755	3,261951	3,422141	3,451696	3,684037	3,54378	3,390894	3,379448	3,505904
GENE4872	5,699071	6,592792	5,38376	6,640109	5,578438	5,649105	5,424338	6,602101	5,456234	6,152727
GENE4873	4,490204	5,13529	4,725101	4,699806	4,811286	4,956794	4,96903	4,569365	4,873387	5,100184
GENE4874	6,057097	5,714023	6,092652	6,182853	5,719049	6,073518	6,657407	6,036468	6,196288	6,29603
GENE4875	5,256051	5,189312	4,93918	5,5703	5,012735	5,245166	5,523034	5,462857	5,725637	5,330972
GENE4876	5,313361	5,087575	5,094094	5,095927	4,671929	5,097466	5,02841	5,218929	4,813475	5,071776
GENE4877	4,705801	4,452	4,232458	8,714017	9,248907	8,977452	9,10798	8,281705	4,550179	4,500939
GENE4878	3,870895	3,756394	3,37203	3,529056	3,653835	3,256686	3,494183	3,672549	3,383558	3,616125
GENE4879	4,766127	5,22241	4,855115	4,629431	4,819899	4,988489	5,153654	4,9685	4,437581	5,076025
GENE4880	4,56181	4,475343	5,36911	4,56181	4,270851	4,477339	4,22381	4,246981	4,584105	4,353311
GENE4881	4,735201	4,835011	4,627613	4,663146	4,768102	4,571945	4,641956	4,610115	4,719538	4,768102
GENE4882	3,563868	3,823652	3,734345	3,549394	3,485835	3,621341	3,670892	3,656433	3,662859	3,890447
GENE4883	4,707014	5,008528	4,975444	5,182915	4,825238	5,351672	4,429123	5,226238	4,873885	4,787338
GENE4884	4,055185	4,430324	4,190578	3,773744	3,968293	4,215692	3,942677	4,060404	3,89588	3,911515
GENE4885	4,449552	5,119356	5,373238	4,528085	4,83324	4,594907	4,745319	4,797501	5,09038	4,895099
GENE4886	4,619542	3,473129	4,411558	4,339945	4,928348	3,612863	4,466552	3,788419	5,257053	5,463394
GENE4887	4,469299	4,711363	4,564228	4,264616	4,696975	4,793244	4,519819	4,462337	4,628962	4,590323
GENE4888	6,821476	9,485238	6,372405	8,394611	8,17063	8,223403	8,816971	9,426801	6,986803	8,743493
GENE4889	5,580962	5,594572	6,218663	5,840285	5,546893	5,727931	5,530381	6,025686	5,737549	5,838
GENE4890	4,010964	4,196318	4,037571	4,063176	4,208557	4,173759	3,905179	4,039063	3,9378	3,952604
GENE4891	3,150643	3,090037	2,987022	3,176702	3,039341	3,207927	3,024869	3,187169	3,056407	2,884797
GENE4892	4,242085	4,220442	4,073308	4,103803	4,182962	3,999793	4,184745	3,963088	4,220442	4,429101
GENE4893	8,123551	7,113488	7,954468	7,546093	7,922426	7,543551	7,889527	7,919744	7,941171	7,471385
GENE4894	4,266113	4,799151	4,285657	4,811286	4,606336	4,476994	4,519558	4,668177	4,362008	4,47283
GENE4895	6,031692	6,002233	5,627354	5,840199	6,421709	5,874259	5,588012	5,579814	5,786692	5,782254
GENE4896	5,21478	5,165222	4,993266	5,104425	4,819916	5,003884	5,113607	5,121103	5,107691	5,211753
GENE4897	4,276888	4,002778	4,241513	4,401721	4,483221	4,082366	4,455634	4,455149	4,362008	4,074432
GENE4898	4,855018	4,552427	5,243963	4,733873	4,673783	4,849799	5,022592	4,735547	4,387143	4,559174
GENE4899	5,232036	5,799304	6,083683	5,775665	5,273257	5,756895	5,841537	6,291324	5,302114	5,639283
GENE4900	7,135931	6,396222	6,390792	6,760994	6,69057	6,470251	6,345188	6,274015	6,547789	6,648502
GENE4901	4,280121	4,47669	6,517815	4,449227	4,559444	4,547478	4,455648	4,291989	4,489096	4,496828
GENE4902	4,046057	4,012739	4,177756	4,045387	4,015305	4,168713	4,239878	4,104882	3,84797	4,188851
GENE4903	4,888393	5,10973	4,875056	5,359118	5,154741	5,222309	5,029791	4,994441	5,139098	5,186959
GENE4904	8,359221	7,853576	7,056758	8,140126	7,670025	9,007591	8,985986	8,352328	7,330827	8,816935
GENE4905	4,873201	5,883829	5,696314	5,756973	5,822043	5,857768	5,955778	6,286424	5,698331	6,018928
GENE4906	3,161641	3,008737	3,078608	3,262835	3,34648	3,152936	3,254243	3,143819	3,29418	3,0341
GENE4907	5,693682	5,356007	5,100764	4,959901	5,303088	5,416526	5,523034	5,193798	6,025433	6,246741
GENE4908	5,919118	5,78609	6,426241	5,50311	5,817016	5,955515	5,945722	5,796259	5,789563	5,807427
GENE4909	5,420144	5,208676	4,923529	5,02524	5,284811	4,733502	5,292416	4,898025	5,090838	5,127492
GENE4910	2,944329	3,127692	3,490964	3,171827	3,151283	3,510953	3,421133	3,543723	3,031292	3,53526
GENE4911	3,573838	4,49607	3,61891	4,592593	3,815789	3,891092	3,907413	4,798287	3,760294	4,292176
GENE4912	4,553996	4,734916	4,510921	4,619523	4,739381	4,669111	4,502636	4,730841	4,50553	4,695271
GENE4913	7,335726	5,021959	5,343527	4,954363	4,627367	5,208034	4,981254	4,973657	4,875084	5,17251
GENE4914	4,509096	4,37784	4,138865	4,374658	4,16162	4,600244	4,06434	4,308071	4,595093	4,701599
GENE4915	4,144994	4,310853	4,184349	4,098886	4,117976	4,159412	4,154026	4,31411	4,197902	4,271336
GENE4916	3,468492	3,312925	3,179917	3,38935	3,134507	3,394202	3,08947	3,110705	3,000642	3,05553
GENE4917	3,234104	3,305002	3,232908	3,311493	3,090462	3,159393	3,084369	3,180717	3,245671	3,313671
GENE4918	11,591587	12,058529	11,864831	12,279794	11,617577	12,182401	11,927922	12,348656	11,890808	12,12849
GENE4919	3,861789	3,850146	3,952179	3,403255	3,831577	3,885913	3,831179	3,857807	3,855648	3,844005
GENE4920	5,771231	6,184707	5,819838	5,515865	5,380398	5,756646	5,806026	5,950945	5,545389	5,645012
GENE4921	4,173583	4,542484	4,180852	4,190336	4,233758	4,279195	4,094492	4,38141	4,099831	4,360308
GENE4922	5,613961	5,802778	5,504136	5,495741	5,293379	5,289351	5,615274	5,274441	5,572834	5,61536
GENE4923	7,686544	7,820445	7,006045	8,249977	7,656081	8,117578	7,983771	7,646288	7,733394	8,172534
GENE4924	3,243744	3,434971	3,159102	3,00395	3,224902	3,293158	2,967357	3,135555	3,164485	3,110549
GENE4925	5,864157	6,398352	5,647614	5,949048	6,013316	6,205295	5,888442	6,00548	5,825496	6,127308
GENE4926	5,436786	7,839456	4,767382	6,73713	5,986406	7,606681	8,078912	8,113937	4,981968	7,092549
GENE4927	3,704397	3,76197	3,570034	3,593012	3,798659	4,0807	3,380436	3,81424	3,775023	3,690014
GENE4928	4,656042	4,834157	4,415372	4,355843	4,012018	4,554664	4,803922	4,214277	4,122179	4,304471
GENE4929	3,145755	3,079232	3,244396	2,922596	3,083012	3,017122	3,129809	3,054254	2,982551	2,994529
GENE4930	3,621868	3,22776	3,366789	3,111629	3,295618	3,193432	3,548171	3,045724	3,442707	3,890115
GENE4931	6,27496	5,601371	6,190356	5,866458	5,829161	6,008751	6,459772	5,553544	6,013249	6,034831
GENE4932	2,825344	2,997313	3,067397	2,698538	3,109452	2,860598	2,810328	2,930903	3,021996	2,931812
GENE4933	4,113914	4,621179	4,583402	4,375361	4,263721	4,401593	4,626944	4,376082	4,213882	4,169381
GENE4934	7,68519	8,519289	9,270956	7,673909	9,472526	9,659603	10,331794	9,721053	8,962974	8,717908
GENE4935	6,230339	6,362924	6,256008	6,3406	6,096944	6,316798	6,140017	6,513834	6,341947	6,380132
GENE4936	5,613081	6,036653	5,841521	5,869336	6,153986	5,89598	5,818801	6,102093	5,909675	5,83374
GENE4937	5,504296	5,365354	5,401015	5,04659	5,083247	5,167249	5,230366	5,042845	5,02607	5,181169
GENE4938	4,01934	3,809692	3,80055	3,975625	3,6427	3,840905	3,729557	3,97459	3,706209	3,662673
GENE4939	4,232644	4,515273	4,441804	4,502104	4,333363	4,491598	4,767223	4,569166	4,520813	4,511522
GENE4940	7,803939	8,017646	7,931663	7,985061	7,87958	8,246683	7,844937	8,049368	7,904723	8,03465
GENE4941	3,803292	4,033519	3,560168	3,539698	3,791064	3,747278	4,117497	3,64	3,545513	3,685348
GENE4942	3,059067	3,015324	3,064205	2,967714	3,13217	2,87984	3,055147	2,850473	2,928912	3,093458
GENE4943	8,82091	7,812803	8,351651	8,264034	7,822257	7,99913	8,318256	7,976204	8,724571	8,084044
GENE4944	7,73098	7,579307	8,15999	7,977409	7,378291	8,280739	7,782499	7,876764	7,777765	7,920733
GENE4945	4,164547	4,360148	4,446067	4,053529	4,224033	4,077726	4,242737	4,541498	4,266064	4,216471
GENE4946	9,276293	8,77937	10,101012	9,257534	8,684686	9,185861	9,297512	8,658299	9,361903	9,099297
GENE4947	4,540267	4,706693	4,722939	4,552718	4,256357	4,462212	4,391425	4,762617	4,458529	4,622794
GENE4948	8,637437	8,307623	8,736242	8,232641	8,2385	8,197624	8,416621	8,505893	8,751321	8,513086
GENE4949	3,182675	3,561499	3,481749	3,439482	3,120772	3,459708	3,286192	3,229361	3,45916	3,404405
GENE4950	4,135508	4,184004	4,446995	4,34656	4,40503	4,331996	4,313412	4,295354	4,245938	4,18157
GENE4951	5,657736	5,764104	5,938908	5,673781	6,066388	5,83362	5,960426	5,831291	5,619452	5,796668
GENE4952	4,955687	6,428232	6,224368	5,911101	5,367361	6,260711	6,083162	5,993934	5,934545	6,406047
GENE4953	3,984521	3,984521	3,945605	4,023065	3,835602	4,04625	4,007546	3,774142	3,830118	3,962234
GENE4954	10,992195	10,27004	11,56816	10,710566	10,555573	10,524164	10,779358	10,492007	10,86495	10,399625
GENE4955	4,508567	5,36417	5,08422	4,761377	5,508324	4,919776	4,904043	5,009579	6,054617	4,774797
